;8;9;12;15;16;17;19;24;23;25;26;27;28;29;31;33;32;34;37;38;39;40;43;45;46;47;48;51;54;55;58;59;60;63;64;65;66;67;68;70;71;72;76;77;78;82;84;85;87;89;90;91;94;95;97;98;99;100;101;102;103;104;105;106;108;109;110;111;112;113;115;118;119;121;123;126;127;130;132;134;135;136;137;138;139;140;141;142;143;144;148;150;151;152;153;154;156;158;160;161;163;164;166;167;168;172;175;176;177;178;179;184;185;186;187;188;190;193;194;195;196;
FAZZONE Claudio;75;0;0;0;0;0;0;0;9.09;0;0;0;0;0;100;100;100;0;0;0;0;0;0;0;0;0;0;0;100;38.89;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;100;0;100;6.25;0;0;0;100;25.64;0;0;0;100;0;0;96.06;0;100;0;1.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98.9;0;0;100;100;0;0;50;100;0;0;0;0;0;0;0;0;100;0;100;100
GHEDINI Niccolo';0;0;100;100;100;100;100;100;0;100;100;92.31;100;100;100;0;43.96;100;0;0;0;84.62;62.5;20;96.88;42.86;4.59;82.05;100;50;40.91;0;100;28.03;1.14;100;100;0;100;100;0;0;100;100;0;0;100;100;0;100;100;100;100;100;100;100;100;0;0;100;0;50;100;100;7.69;100;100;100;100;0.69;100;100;100;5.77;11.81;0;100;100;0;100;60;100;74.02;0;100;100;100;50;100;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;50;100;100;100;100;100;100;100;100;0;90.91;0;100;100
MALAN Lucio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;7.14;0;38.46;0;0;0;0;0;5.02;0;0;0;0;0;0;0;0;0;100;4;0;0;7.67;0;0;0;0;0.16;0;0;0;0;0;0;0;1.56;0;0;2.13;0;0;0;0;0;0;0;0.39;0;15.38;0.79;0;0;0;0;16.03;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0
NAPOLITANO Giorgio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SCHIFANI Renato Giuseppe;0;0;0;2.5;0;0;0;0;0;0;0;7.69;100;0;100;0;7.73;10;0;0;0;15.38;0;0;100;7.14;20.18;10.26;100;5.56;7.79;0;0;0.42;13.14;0;0;14.89;0;0;0;0;0;66.67;0;0;0;12.33;0;0;0;4;0;0;42.42;18.52;0;0;0;100;0;0;0;27.66;0;0;0;0;0;0;0;0;0;5.77;0;0;0;0;0;1.53;0;100;0;0;0;0;3.9;0;0;0;0;5.26;0;0;0;0;0;0;0;0;1.1;0;0;0;0;0;96.55;50;0;0;0;0;11.11;36.36;0;0;0;0;0;0;0
TOTARO Achille;0;0;0;0;100;0;0;0;0;0;0;0;100;5.56;0;0;0;100;0;0;0;0;62.5;0;100;0;0;0;100;0;0;0;0;0.42;0;100;0;0;0;100;100;0;0;100;100;0;100;0;0;0;100;0;0;0;0;100;0;0;0;0;0;100;0;0;100;100;100;0;0;0;100;0;100;0;7.09;0;100;0;0;0;100;0;0;100;0;100;100;0;0;0;0;100;100;100;0;100;44.44;0;100;100;1.1;100;0;0;0;0;0;0;100;0;0;100;100;100;0;0;0;0;100;0;100
ZANDA Luigi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;100;0;0;0;0;0;0;0;38.89;0;0;100;2.51;0;0;0;0;1.45;100;100;100;0;100;0;0;0;0;0;0;0;28;0.78;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;61.42;0;0;0;0;0.76;0;0;0.79;0;0;0;0;0;0.79;0;0;15.79;0;0;0;0;0;0;0;100;0;0;0;19.61;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;19.05
NASTRI Gaetano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;0;0;100;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;100;100;100
PICHETTO FRATIN Gilberto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LAUS Mauro Antonio Donato;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.42;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0.79;0;0;0;0;50;0;0;0;10.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
TARICCO Giacomino;0;0;0;0;0;0;0;0;0;0;0;23.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.86;0;0;0;0;0;0;0;34.29;100;0;0;0;0;0;0;0;0;0.16;0;0;0;100;100;0;0;0;50;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MIRABELLI Franco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.86;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0.16;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0.2;0;13.46;0;0;0;0;1.32;29.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0
SERAFINI Giancarlo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAUSIN Andrea;100;0;0;0;0;16.67;0;0;0;0;0;0;100;55.56;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.29;0;0;2.93;2.29;0;100;100;100;0;0;0;100;100;48;0;0;0.33;0;0;0;68;0.31;0;0;0;0;0;0;0;0;0;0;8.51;0;0;0;0;0;0;0;100;100;100;0.79;0;0;0;2.63;100;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;55.56;100;0;0;0;0;100;0;0;0;96.55;0;0;0;0;0;0;100;0;100;0;0;0;0;4.76
BIASOTTI Sandro;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;44.44;0;0;0;80;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;100;100;0;0;0;0;66.67;4;0;100;0;0;0;0;0;3.27;0;0;0;0;0;0;0;0;50;100;36.17;0;0;100;0;0;0;0;100;100;1.92;100;0;0;100;100;0;100;100;0;0;0;0;0;50;0;0;0;5.26;0;100;0;0;11.11;0;0;11.11;0;0;100;0;92.11;100;96.55;100;100;100;0;0;11.11;100;100;100;0;0;0;0;0
BRUZZONE Francesco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.09;0;0;0
